,sample,IGSN,source,EXPEDITION ID,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,MIN AGE,AGE,MAX AGE,METHODS,ANALYZED MATERIAL,ROCK TYPE,sample_type,MINERAL,TECTONIC SETTING,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
15,HLY0102-090-011,,"VAN DER ZWAN, 2017",HLY0102,86.29,35.5,0.0001,-5022.0,-5021.5,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.9,15.0,2.2,11.9,3.8,1.33,5.0,0.79,5.6,1.2,3.5,0.43,2.9,0.48
16,HLY0102-091-001,,"VAN DER ZWAN, 2017; YANG YANG, 2021",HLY0102,86.33,35.63,0.0001,-4575.0,-4575.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.69,16.3,2.6,14.32,4.65,1.45,5.7,0.88,7.0,1.56,3.8,0.53,4.0,0.57
17,HUD1966-009-VG305,,"REEKIE, 2019",HUD1966,45.33,-28.03,0.01,-1792.0,-1960.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,7.56,17.95,2.43,11.77,3.58,1.25,4.42,0.78,5.26,1.19,3.35,0.47,3.31,0.48
18,HUD1966-009-VG307,,"REEKIE, 2019",HUD1966,45.33,-28.03,0.01,-1792.0,-1960.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,6.99,16.14,2.07,9.81,2.86,1.09,3.57,0.6,3.99,0.9,2.64,0.37,2.61,0.35
19,HUD1966-009-VG309,,"REEKIE, 2019",HUD1966,45.33,-28.03,0.01,-1792.0,-1960.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,8.65,18.91,2.44,10.98,3.1,1.1,3.55,0.65,4.3,0.95,2.68,0.36,2.48,0.33
20,HUD1966-009-VG310,,"REEKIE, 2019",HUD1966,45.33,-28.03,0.01,-1792.0,-1960.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,7.22,16.47,2.21,10.02,3.15,1.14,3.96,0.68,4.64,0.96,2.87,0.42,2.81,0.42
21,HUD1966-056-VG312,,"REEKIE, 2019",HUD1966,45.22,-28.0,0.001,-3076.0,-709.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.76,13.32,1.75,8.42,2.67,0.96,3.24,0.6,3.83,0.86,2.52,0.35,2.62,0.33
22,HUD2268-173-VG308,,"REEKIE, 2019",HUD2268,45.62,-27.72,0.01,-2377.0,-2377.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.28,12.25,1.96,10.48,3.7,1.31,4.93,0.88,6.0,1.26,3.6,0.54,3.69,0.52
23,IONRUSS-VIT-313-105,,"IONOV, 2005",nr,59.45,112.55,0.01,,,,1.98,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_OFF-CRATON,0.41,1.04,0.17,0.83,0.28,0.12,0.43,0.078,0.54,0.12,0.34,0.05,0.33,0.055
24,IONRUSS-VIT-313-110,,"IONOV, 2005",nr,59.45,112.55,0.01,,,,2.1,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_OFF-CRATON,0.77,1.67,0.24,1.07,0.33,0.13,0.45,0.086,0.63,0.15,0.49,0.079,0.55,0.099
25,IONRUSS-VIT-313-54,,"IONOV, 2005",nr,59.45,112.55,0.01,,,,2.08,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_OFF-CRATON,0.55,1.35,0.2,0.99,0.34,0.13,0.49,0.09,0.62,0.14,0.4,0.061,0.4,0.065
26,IONRUSS-VIT-314-56,,"IONOV, 2005",nr,59.45,112.55,0.01,,,,2.43,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_OFF-CRATON,0.65,1.43,0.24,1.17,0.39,0.16,0.57,0.104,0.73,0.16,0.45,0.067,0.44,0.071
27,IONRUSS-VIT-314-58,,"IONOV, 2005",nr,59.45,112.55,0.01,,,,2.14,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_OFF-CRATON,0.26,0.68,0.13,0.72,0.28,0.12,0.43,0.081,0.57,0.13,0.38,0.057,0.37,0.062
28,IONRUSS-VIT-314-59,,"IONOV, 2005",nr,59.45,112.55,0.01,,,,1.66,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_OFF-CRATON,0.64,1.56,0.22,1.07,0.32,0.12,0.42,0.075,0.5,0.11,0.31,0.047,0.3,0.05
29,IONRUSS-VIT-314-74,,"IONOV, 2005",nr,59.45,112.55,0.01,,,,1.57,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_OFF-CRATON,0.76,1.26,0.18,0.8,0.2,0.07,0.26,0.044,0.29,0.06,0.18,0.027,0.18,0.03
30,IRVCAN-SOM-BAT-K11A14,,"WITTIG, 2008",nr,73.4,-91.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.52,2.43,0.259,0.914,0.152,0.05,0.147,0.022,0.13,0.027,0.075,0.012,0.081,0.013
31,IRVCAN-SOM-BAT-K11A15,,"WITTIG, 2008",nr,73.4,-91.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.82,3.24,0.382,1.47,0.289,0.087,0.255,0.03,0.143,0.023,0.054,0.008,0.048,0.009
32,IRVCAN-SOM-BAT-K11A16,,"WITTIG, 2008",nr,73.4,-91.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,2.55,4.19,0.467,1.75,0.336,0.101,0.287,0.035,0.175,0.027,0.061,0.009,0.052,0.008
33,IRVCAN-SOM-BAT-K11A17,,"WITTIG, 2008",nr,73.4,-91.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.83,3.03,0.336,1.22,0.207,0.07,0.205,0.031,0.17,0.032,0.082,0.013,0.074,0.013
34,IRVCAN-SOM-BAT-K11A18,,"WITTIG, 2008",nr,73.4,-91.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.77,1.48,0.187,0.749,0.167,0.05,0.115,0.009,0.037,0.005,0.013,0.002,0.013,0.002
35,IRVCAN-SOM-BAT-K12A1,,"WITTIG, 2008",nr,73.4,-91.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.517,0.993,0.108,0.356,0.049,0.016,0.052,0.007,0.049,0.011,0.032,0.006,0.037,0.007
36,IRVCAN-SOM-BAT-K13A1,,"WITTIG, 2008",nr,73.4,-91.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.51,2.48,0.264,0.905,0.126,0.04,0.1,0.013,0.071,0.014,0.038,0.007,0.048,0.009
37,IRVCAN-SOM-BAT-K13A3,,"WITTIG, 2008",nr,73.4,-91.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,2.09,3.51,0.373,1.29,0.161,0.043,0.105,0.012,0.062,0.009,0.026,0.003,0.024,0.004
38,IRVCAN-SOM-BAT-K13A4,,"WITTIG, 2008",nr,73.4,-91.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.562,0.91,0.117,0.494,0.115,0.044,0.155,0.027,0.187,0.042,0.117,0.02,0.132,0.022
39,IRVCAN-SOM-BAT-K13A5,,"WITTIG, 2008",nr,73.4,-91.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,2.25,3.92,0.397,1.43,0.219,0.073,0.223,0.037,0.216,0.043,0.104,0.016,0.095,0.014
40,IRVCAN-SOM-BAT-K13B4,,"WITTIG, 2008",nr,73.4,-91.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,3.34,6.35,0.72,2.55,0.367,0.102,0.251,0.029,0.118,0.015,0.035,0.004,0.031,0.004
41,IRVCAN-SOM-BAT-K15A4,,"WITTIG, 2008",nr,73.4,-91.5,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.52,2.52,0.291,1.31,0.221,0.066,0.185,0.022,0.113,0.02,0.046,0.006,0.045,0.007
42,IRVCAN-SOM-JP-JP1X2,,"WITTIG, 2008",nr,73.5,-91.0,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,2.35,4.97,0.636,2.27,0.317,0.086,0.225,0.03,0.162,0.032,0.093,0.016,0.1,0.017
44,IRVCAN-SOM-JP-JP3X,,"WITTIG, 2008",nr,73.5,-91.0,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.08,1.59,0.169,0.631,0.105,0.038,0.09,0.012,0.074,0.015,0.04,0.007,0.045,0.009
45,IRVCAN-SOM-JP-JPN11,,"WITTIG, 2008",nr,73.5,-91.0,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.01,1.59,0.187,0.654,0.123,0.041,0.143,0.022,0.111,0.019,0.04,0.006,0.034,0.005
46,IRVCAN-SOM-JP-JPN2,,"WITTIG, 2008",nr,73.5,-91.0,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.33,2.37,0.272,1.01,0.136,0.041,0.113,0.011,0.054,0.008,0.019,0.003,0.016,0.002
47,IRVCAN-SOM-JP-JPN3A,,"WITTIG, 2008",nr,73.5,-91.0,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.45,2.53,0.3,1.12,0.17,0.051,0.149,0.018,0.098,0.017,0.045,0.007,0.042,0.007
48,IRVCAN-SOM-JP-JPN3B,,"WITTIG, 2008",nr,73.5,-91.0,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.44,2.69,0.333,1.28,0.222,0.065,0.187,0.024,0.123,0.021,0.051,0.007,0.052,0.009
49,IRVCAN-SOM-JP-JPN4,,"WITTIG, 2008",nr,73.5,-91.0,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.39,2.56,0.311,1.14,0.223,0.076,0.239,0.038,0.192,0.036,0.096,0.015,0.1,0.019
51,IRVCAN-SOM-JP-JPS1,,"WITTIG, 2008",nr,73.5,-91.0,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.81,2.62,0.292,1.04,0.164,0.056,0.169,0.022,0.111,0.019,0.042,0.006,0.034,0.007
52,IRVCAN-SOM-JP-JPS4,,"WITTIG, 2008",nr,73.5,-91.0,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,2.15,3.17,0.357,1.23,0.201,0.057,0.181,0.025,0.123,0.021,0.053,0.008,0.043,0.007
53,IRVCAN-SOM-JP-JPS6A,,"WITTIG, 2008",nr,73.5,-91.0,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.93,2.6,0.301,1.13,0.225,0.077,0.253,0.039,0.231,0.047,0.123,0.02,0.122,0.02
54,IRVCAN-SOM-JP-JPS6B,,"WITTIG, 2008",nr,73.5,-91.0,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,2.05,2.89,0.342,1.32,0.263,0.087,0.271,0.044,0.261,0.054,0.144,0.023,0.142,0.022
55,IRVCAN-SOM-NRD-N1C,,"WITTIG, 2008",nr,73.5,-92.0,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,3.14,4.98,0.54,1.88,0.283,0.083,0.237,0.029,0.15,0.025,0.064,0.011,0.058,0.009
56,IRVCAN-SOM-NRD-N2B,,"WITTIG, 2008",nr,73.5,-92.0,0.1,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,2.82,4.85,0.548,1.91,0.263,0.077,0.205,0.025,0.121,0.02,0.051,0.007,0.047,0.007
57,IRVLESO-LQ-LQ1,,"WITTIG, 2008",nr,-29.0,28.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.13,2.22,0.276,1.09,0.216,0.074,0.243,0.037,0.199,0.032,0.066,0.008,0.042,0.006
58,IRVLESO-LQ-LQ9,,"WITTIG, 2008",nr,-29.0,28.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.92,3.79,0.481,1.85,0.309,0.09,0.229,0.03,0.128,0.018,0.038,0.005,0.024,0.004
60,IRVLESO-LT-LET13,,"WITTIG, 2008",nr,-29.0,27.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.36,2.58,0.333,1.29,0.231,0.069,0.183,0.019,0.079,0.011,0.022,0.003,0.016,0.002
61,IRVLESO-LT-LET14,,"WITTIG, 2008",nr,-29.0,27.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.36,2.62,0.346,1.32,0.192,0.05,0.127,0.013,0.057,0.009,0.018,0.002,0.013,0.002
62,IRVLESO-LT-LET25,,"WITTIG, 2008",nr,-29.0,27.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.46,3.01,0.399,1.52,0.223,0.055,0.149,0.016,0.064,0.009,0.019,0.002,0.014,0.002
63,IRVLESO-LT-LET27,,"WITTIG, 2008",nr,-29.0,27.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,2.14,4.1,0.522,2.08,0.361,0.1,0.259,0.032,0.138,0.022,0.05,0.007,0.04,0.006
64,IRVLESO-LT-LET30,,"WITTIG, 2008",nr,-29.0,27.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.84,3.59,0.478,1.91,0.346,0.09,0.239,0.029,0.133,0.02,0.043,0.006,0.029,0.005
65,IRVLESO-LT-LET31,,"WITTIG, 2008",nr,-29.0,27.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,2.66,5.04,0.624,2.39,0.385,0.114,0.314,0.039,0.172,0.026,0.05,0.006,0.032,0.005
66,IRVLESO-LT-LET47,,"WITTIG, 2008",nr,-29.0,27.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.742,1.45,0.205,0.887,0.148,0.037,0.086,0.009,0.034,0.004,0.008,0.001,0.006,0.001
67,IRVLESO-LT-LET48,,"WITTIG, 2008",nr,-29.0,27.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,2.9,5.59,0.702,2.64,0.448,0.127,0.338,0.044,0.221,0.035,0.072,0.008,0.042,0.006
68,IRVLESO-LT-LET49,,"WITTIG, 2008",nr,-29.0,27.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.3,2.55,0.339,1.3,0.21,0.06,0.175,0.026,0.145,0.029,0.08,0.013,0.089,0.015
69,IRVLESO-LT-LET58,,"WITTIG, 2008",nr,-29.0,27.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,3.06,5.93,0.739,2.87,0.471,0.122,0.314,0.034,0.15,0.022,0.046,0.006,0.035,0.005
70,IRVLESO-LT-LET6,,"WITTIG, 2008",nr,-29.0,27.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.443,1.07,0.182,0.85,0.164,0.047,0.121,0.014,0.064,0.01,0.021,0.003,0.013,0.002
71,IRVLESO-LT-LET63,,"WITTIG, 2008",nr,-29.0,27.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,0.318,0.588,0.0742,0.292,0.067,0.022,0.068,0.008,0.047,0.009,0.029,0.005,0.034,0.007
73,IRVLESO-NG-PHN2872,,"WITTIG, 2008",nr,-30.0,30.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.553,2.598,0.287,1.086,0.15,0.041,0.119,0.011,0.053,0.008,0.015,0.002,0.012,0.002
74,IRVLESO-NG-PHN2873-3,,"WITTIG, 2008",nr,-30.0,30.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,8.284,13.499,1.485,5.354,0.72,0.2,0.474,0.053,0.214,0.034,0.072,0.008,0.038,0.005
75,IRVLESO-NG-PHN2873-7,,"WITTIG, 2008",nr,-30.0,30.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,7.54,12.972,1.476,5.351,0.807,0.232,0.573,0.063,0.273,0.043,0.088,0.01,0.053,0.008
76,IRVLESO-NG-PHN2873-8,,"WITTIG, 2008",nr,-30.0,30.0,1.0,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,7.702,14.355,1.637,5.858,0.794,0.212,0.494,0.054,0.224,0.031,0.064,0.008,0.04,0.006
77,IRVSAF-KIM-F865A,,"WITTIG, 2008",nr,-28.7167,24.75,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.6,3.15,0.327,1.4,0.228,0.064,0.194,0.025,0.119,0.019,0.04,0.006,0.038,0.007
78,IRVSAF-KIM-FRB1402,,"WITTIG, 2008",nr,-28.7167,24.75,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,2.031,3.988,0.502,1.933,0.285,0.076,0.194,0.02,0.086,0.012,0.026,0.003,0.014,0.002
79,IRVSAF-KIM-FRB1404,,"WITTIG, 2008",nr,-28.7167,24.75,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,3.161,6.464,0.856,3.451,0.5,0.124,0.293,0.033,0.124,0.018,0.031,0.004,0.027,0.004
80,IRVSAF-KIM-FRB1409,,"WITTIG, 2008",nr,-28.7167,24.75,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,6.569,12.904,1.54,6.004,0.884,0.224,0.539,0.06,0.247,0.036,0.071,0.008,0.043,0.007
81,IRVSAF-KIM-FRB1419,,"WITTIG, 2008",nr,-28.7167,24.75,0.01,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,INTRAPLATE_CRATON,1.987,3.534,0.393,1.355,0.177,0.045,0.119,0.011,0.049,0.007,0.015,0.002,0.01,0.002
